2025-05-08 10:28:22,375 | INFO | Fetch 1M17 …
2025-05-08 10:28:24,377 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:28:24,410 | INFO | >>> PREPARE INPUTS
2025-05-08 10:28:25,824 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:28:25,824 | INFO | >>> DOCK
2025-05-08 10:28:25,825 | INFO | Dokowanie 1 kompleksów...
2025-05-08 10:28:25,846 | INFO | >>> MERGE LOGS
2025-05-08 10:28:25,847 | INFO | Parsing 0 logs …
2025-05-08 10:29:58,472 | INFO | Fetch 1M17 …
2025-05-08 10:29:58,757 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:29:58,790 | INFO | >>> PREPARE INPUTS
2025-05-08 10:29:58,790 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:29:58,790 | INFO | >>> DOCK
2025-05-08 10:29:58,790 | INFO | Dokowanie 1 kompleksów...
2025-05-08 10:29:58,811 | INFO | >>> MERGE LOGS
2025-05-08 10:29:58,811 | INFO | Parsing 0 logs …
2025-05-08 10:30:12,826 | INFO | Fetch 1M17 …
2025-05-08 10:30:12,895 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:30:12,910 | INFO | >>> PREPARE INPUTS
2025-05-08 10:30:12,910 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:30:12,910 | INFO | >>> DOCK
2025-05-08 10:30:12,910 | INFO | Dokowanie 1 kompleksów...
2025-05-08 10:30:12,921 | INFO | >>> MERGE LOGS
2025-05-08 10:30:12,921 | INFO | Parsing 0 logs …
2025-05-08 10:30:12,924 | INFO | >>> POST‑PROCESS
2025-05-08 10:42:26,626 | INFO | Fetch 1M17 …
2025-05-08 10:42:26,729 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:42:26,745 | INFO | >>> PREPARE INPUTS
2025-05-08 10:42:28,245 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:42:28,245 | INFO | >>> DOCK
2025-05-08 10:42:28,245 | INFO | Dokowanie 1 kompleksów...
2025-05-08 10:42:28,258 | INFO | >>> MERGE LOGS
2025-05-08 10:42:28,258 | INFO | Parsing 0 logs …
2025-05-08 10:43:57,482 | INFO | Fetch 1M17 …
2025-05-08 10:43:57,608 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:43:57,624 | INFO | >>> PREPARE INPUTS
2025-05-08 10:43:57,624 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:43:57,624 | INFO | >>> DOCK
2025-05-08 10:43:57,624 | INFO | Dokowanie 1 kompleksów...
2025-05-08 10:43:57,639 | INFO | >>> MERGE LOGS
2025-05-08 10:43:57,639 | INFO | Parsing 0 logs …
2025-05-08 10:43:57,642 | INFO | >>> POST‑PROCESS
2025-05-08 10:55:21,843 | INFO | Fetch 1M17 …
2025-05-08 10:55:21,975 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:55:21,992 | INFO | >>> PREPARE INPUTS
2025-05-08 10:55:21,992 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:55:21,992 | INFO | >>> DOCK
2025-05-08 10:55:21,992 | INFO | Dokowanie 1 kompleksów…
2025-05-08 10:55:43,233 | INFO | >>> MERGE LOGS
2025-05-08 10:55:43,233 | INFO | Parsing 1 logs …
2025-05-08 10:58:07,798 | INFO | Fetch 1M17 …
2025-05-08 10:58:08,004 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 10:58:08,024 | INFO | >>> PREPARE INPUTS
2025-05-08 10:58:08,024 | INFO | PDB → PDBQT conversion finished
2025-05-08 10:58:08,024 | INFO | >>> DOCK
2025-05-08 10:58:08,025 | INFO | Docking already performed. Skipping.
2025-05-08 10:58:08,025 | INFO | >>> MERGE LOGS
2025-05-08 10:58:08,025 | INFO | Parsing 1 logs …
2025-05-08 10:58:08,030 | INFO | >>> POST‑PROCESS
2025-05-08 11:00:57,396 | INFO | Fetch 1M17 …
2025-05-08 11:00:57,537 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:00:57,555 | INFO | >>> PREPARE INPUTS
2025-05-08 11:00:57,556 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:00:57,556 | INFO | >>> DOCK
2025-05-08 11:00:57,556 | INFO | Docking already performed. Skipping.
2025-05-08 11:00:57,556 | INFO | >>> MERGE LOGS
2025-05-08 11:00:57,556 | INFO | Parsing 1 logs …
2025-05-08 11:00:57,561 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:00:57,561 | INFO | >>> POST‑PROCESS
2025-05-08 11:00:57,565 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:00:57,565 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:00:57,571 | INFO | RMSD for 1M17_AQ4: 0.00
2025-05-08 11:00:57,589 | INFO | Pipeline finished – validation OK
2025-05-08 11:07:17,559 | INFO | Fetch 1M17 …
2025-05-08 11:07:17,698 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:07:17,715 | INFO | >>> PREPARE INPUTS
2025-05-08 11:07:17,715 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:07:17,715 | INFO | >>> DOCK
2025-05-08 11:07:17,715 | INFO | Docking already performed. Skipping.
2025-05-08 11:07:17,715 | INFO | >>> MERGE LOGS
2025-05-08 11:07:17,715 | INFO | Parsing 1 logs …
2025-05-08 11:07:17,721 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:07:17,721 | INFO | >>> POST‑PROCESS
2025-05-08 11:07:17,725 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:07:17,725 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:07:17,733 | INFO | RMSD for 1M17_AQ4: 0.00
2025-05-08 11:07:17,748 | INFO | Pipeline finished – validation OK
2025-05-08 11:07:36,064 | INFO | Fetch 1M17 …
2025-05-08 11:07:36,147 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:07:36,162 | INFO | >>> PREPARE INPUTS
2025-05-08 11:07:36,162 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:07:36,162 | INFO | >>> DOCK
2025-05-08 11:07:36,163 | INFO | Dokowanie 1 kompleksów…
2025-05-08 11:07:58,680 | INFO | >>> MERGE LOGS
2025-05-08 11:07:58,680 | INFO | Parsing 1 logs …
2025-05-08 11:07:58,685 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:07:58,685 | INFO | >>> POST‑PROCESS
2025-05-08 11:07:58,688 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:07:58,688 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:07:58,695 | INFO | RMSD for 1M17_AQ4: 2.52
2025-05-08 11:07:58,713 | INFO | Pipeline finished – validation OK
2025-05-08 11:12:46,252 | INFO | Fetch 1M17 …
2025-05-08 11:12:46,496 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:12:46,519 | INFO | >>> PREPARE INPUTS
2025-05-08 11:12:46,519 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:12:46,519 | INFO | >>> DOCK
2025-05-08 11:12:46,519 | INFO | Dokowanie 1 kompleksów…
2025-05-08 11:13:08,350 | INFO | >>> MERGE LOGS
2025-05-08 11:13:08,350 | INFO | Parsing 1 logs …
2025-05-08 11:13:08,357 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:13:08,358 | INFO | >>> POST‑PROCESS
2025-05-08 11:13:08,361 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:13:08,361 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:13:08,370 | INFO | RMSD for 1M17_AQ4: 2.44 Å
2025-05-08 11:13:08,392 | INFO | Pipeline finished – validation OK
2025-05-08 11:14:19,659 | INFO | Fetch 1M17 …
2025-05-08 11:14:19,828 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:14:19,853 | INFO | >>> PREPARE INPUTS
2025-05-08 11:14:19,854 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:14:19,854 | INFO | >>> DOCK
2025-05-08 11:14:19,854 | INFO | Dokowanie 1 kompleksów…
2025-05-08 11:15:02,788 | INFO | >>> MERGE LOGS
2025-05-08 11:15:02,789 | INFO | Parsing 1 logs …
2025-05-08 11:15:02,792 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:15:02,792 | INFO | >>> POST‑PROCESS
2025-05-08 11:15:02,794 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:15:02,794 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:15:02,798 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 11:15:02,814 | INFO | Pipeline finished – validation OK
2025-05-08 11:47:35,350 | INFO | Fetch 1M17 …
2025-05-08 11:47:36,669 | INFO | Split 1M17 → receptor + AQ4
2025-05-08 11:47:36,702 | INFO | >>> PREPARE INPUTS
2025-05-08 11:47:36,702 | INFO | PDB → PDBQT conversion finished
2025-05-08 11:47:36,702 | INFO | >>> DOCK
2025-05-08 11:47:36,703 | INFO | Docking already performed. Skipping.
2025-05-08 11:47:36,703 | INFO | >>> MERGE LOGS
2025-05-08 11:47:36,703 | INFO | Parsing 1 logs …
2025-05-08 11:47:36,711 | INFO | Saved consolidated results → data/output/results.csv
2025-05-08 11:47:36,711 | INFO | >>> POST‑PROCESS
2025-05-08 11:47:36,716 | INFO | Found 0 hits better than native ligands.
2025-05-08 11:47:36,716 | INFO | >>> RMSD & VISUALIZATION
2025-05-08 11:47:36,724 | INFO | RMSD for 1M17_AQ4: 2.45 Å
2025-05-08 11:47:36,775 | ERROR | Failed RMSD for 1M17__AQ4__native_redock.pdbqt: <bound method DrawMolecules of <rdkit.Chem.Draw.rdMolDraw2D.MolDraw2DSVG object at 0x12da759e0>> got multiple values for keyword argument 'highlightAtoms'
